yi,Return arrays from `ArrayImpl._check_and_rearrange`.,"Return arrays from `ArrayImpl._check_and_rearrange`. This is in preparation for a larger change, so that input buffers can be checked before Array creation in XLA and the user gets more helpful JAX error messages instead of XLA errors. Reverts 3b2410f77cdb0acc6951e1770c1229e6689b7409",2025-02-04T21:43:45Z,,open,0,0,https://github.com/jax-ml/jax/issues/26316
yi,jax.distributed with slurm/mpi not working on rocm,"on the rocmplatfrom, `jax.distributed` with the clusterautodetection mechanisms is not working as it is with cuda. Whereas in `jax._src.distributed.initialize()` the visible_devices are set properly for both 'cuda' and 'rocm', in the xla_bridge, only the cuda_visible_devices are queried upon client creation: https://github.com/jaxml/jax/blob/124e123946d09661b6b28dcd82a618be93cb132c/jax/_src/xla_bridge.pyL643 This results in nodelocal processes seeing all local devices which can lead to OOM errors in case of oversubscription or hangs or errors in rccl communication, depending on the specific setup. Thus atm only settings with a single process per node are possible with rocm, whereas with cuda also one process per device works. To my understanding and tests this could be easily fixed by querying also the 'jax_rocm_visible_devices' in xla_bridge and I would be happy to provide a PR in case the current behavior is not the intended one? According to a small set of simple tests, also the whole gpumock setup that is enclosed in the relevant context linked above works with rocm, so the changes might really be minimal.",2025-02-04T08:48:00Z,AMD GPU,open,0,2,https://github.com/jax-ml/jax/issues/26298,"Looking over the block of code there that is setting up the mock devices settings, yeah, I don't think this would be too big of change to make. I think it comes down to changing the block to also run if the plugin is rocm, and checking _ROCM_VISIBLE_DEVICES instead of CUDA_VISIBLE_DEVICES and then running through the same mock settings block. I am not sure if anyone has tried running one process per device yet with jax+rocm, but I don't really see any reason it wouldn't work. I don't really have a slurm/mpi cluster on hand to easily test this, so if you wanted to build the change and verify it on your environment and push it up as a PR that would be helpful. Thanks!",Thanks for looking into this issue! Please find the changes in the PR mentioned above. I tested with A100 and MI300 with slurm and rocm is now consistent with cuda wrt devices being visible to processes.
yi,[JAX] Add a test verifying the behavior of module-level state accessed by colocated Python,"[JAX] Add a test verifying the behavior of modulelevel state accessed by colocated Python A new test verifies that * Python modulelevel variables can be created/set and read from a colocated Python function * Python modulelevel variables are not pickled on the controller (JAX) or sent to executors via pickling An API for defining userdefined state and accessing it from multiple colocated Python functions (i.e., object support) will be added later. That will be a recommended way to express userdefined state. The capability of accessing Python module variables is still crucial because a lot of Python code (including JAX) requires this behavior to implement caching.",2025-02-04T03:56:29Z,,open,0,0,https://github.com/jax-ml/jax/issues/26293
yi,"[JAX][DOC] memory_kind, with_memory_kind and out_shardings","Add documentation for the `memory_kind` parameter in sharding, the `with_memory_kind` method, and the `out_shardings` parameter for specifying output sharding in the {func}`jax.jit` function.",2025-02-03T23:22:35Z,,open,0,0,https://github.com/jax-ml/jax/issues/26285
