DeepSpeed,这是一个关于开发环境中loss聚合问题的用户提问，主要涉及如何处理使用DPO loss时的loss聚合问题，可能由于数据处理方式不同导致。,https://github.com/deepspeedai/DeepSpeed/issues/6841
DeepSpeed,这个issue属于用户请教问题类型，主要涉及DeepSpeed中的Ulysess和RingAttention模块，询问为什么Ulysess需要all2all来处理QKV，而RingAttention只需要在上下文并行下交换KV。,https://github.com/deepspeedai/DeepSpeed/issues/6808
DeepSpeed,"这个issue属于用户询问问题类型，主要涉及DeepSpeed框架中如何配置将张量转移到NVMe设备的问题。用户因为对如何配置""offload_param""和""offload_optimizer""以训练使用ZeROInfinity的语言模型感到困惑。",https://github.com/deepspeedai/DeepSpeed/issues/6752
DeepSpeed,这是一个用户提出问题的issue，主要涉及DeepSpeed下的fp6_linear_kernel函数如何设置Split_K参数，由于无法覆盖所有常用模型的out_channel值，用户需要确定适合的Split_K值以提高GPU利用率。,https://github.com/deepspeedai/DeepSpeed/issues/6676
DeepSpeed,该issue类型是关于代码实现中的设计疑问，主要涉及OptimizedLinear中的QuantizedParameter和FP_Quantizer类，疑问是关于这两个类中量化方式的不一致性导致的问题。,https://github.com/deepspeedai/DeepSpeed/issues/6647
DeepSpeed,这是一个用户请教问题的issue，主要涉及的对象是DeepSpeed中的TP + zero3模块。由于用户想要使用TP + zero3来训练预训练模型，但不清楚如何操作，因此提出了如何使用TP + zero3训练LLM的问题。,https://github.com/deepspeedai/DeepSpeed/issues/6523
DeepSpeed,这是一个用户提出疑问的issue，主要涉及DeepSpeed中Flops Profiler的使用，问题是关于不同计时器选项的区别以及如何在使用Flops Profiler时做出选择。,https://github.com/deepspeedai/DeepSpeed/issues/6466
DeepSpeed,"这是一个关于DeepSpeed配置设置问题的用户提问，涉及主要对象是参数分区中的训练过程。用户针对DeepSpeed zero3在训练LLava1.513B时，发现设置""allgather_bucket_size""配置无效，同时对参数持久化的机制和训练过程中的参数分区问题表示困惑。",https://github.com/deepspeedai/DeepSpeed/issues/6420
DeepSpeed,这是一个用户询问关于在DeepSpeed Ulysses中使用Ring Attention是否会出现问题的类型问题，主要涉及到DeepSpeed Ulysses和Ring Attention的结合使用。,https://github.com/deepspeedai/DeepSpeed/issues/5492
DeepSpeed,这个issue类型是用户请教问题，主要涉及DeepSpeed下的ZERO++ paper中关于reduction操作的不理解，用户想了解reduction操作的具体含义。,https://github.com/deepspeedai/DeepSpeed/issues/5440
